time,cct,lux
0:00,3970,100
0:30,3970,100
1:00,3970,100
1:30,3970,100
2:00,3970,100
2:30,3970,100
3:00,3970,100
3:30,3970,100
4:00,3970,100
4:30,3970,100
5:00,3970,100
5:30,4345,311
6:00,4655,336
6:30,5255,391
7:00,5899,447
7:30,6326,481
8:00,6491,500
8:30,6500,491
9:00,6161,457
9:30,5360,411
10:00,4495,367
10:30,4034,332
11:00,3841,306
11:30,3617,283
12:00,3578,276
12:30,4286,351
13:00,5345,446
13:30,5465,458
14:00,4913,421
14:30,4462,366
15:00,4570,320
15:30,3814,297
16:00,3673,303
16:30,3598,341
17:00,3500,341
17:30,3512,289
18:00,3520,272
18:30,3520,272
19:00,3520,100
19:30,3520,100
20:00,3520,100
20:30,3520,100
21:00,3520,100
21:30,3520,100
22:00,3520,100
22:30,3520,100
23:00,3520,100
23:30,3520,100
